COUNTY NAME,SCHOOL CODE,SCHOOL,GRADUATE COUNT,COLLEGE BOUND,PCT COLLEGE BOUND,2 OR 4 YEAR COLLEGE OR UNIVERSITY,PCT 2 OR 4 YEAR COLLEGE OR UNIVERSITY,TOTAL POSTSECONDARY BOUND,PCT TOTAL POSTSECONDARY BOUND,NON DEGREE GRANTING POSTSECONDARY SCHOOL,PCT NON DEGREE GRANTING POSTSECONDARY SCHOOL,SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION,PCT SPECIALIZED ASSOCIATE DEGREE GRANTING INSTITUTION
Adams,3,Bermudian Springs HS,148,85,0.574324324,80,0.540540541,85,0.574324324,0,0,5,0.033783784
Adams,17,New Oxford SHS,278,151,0.543165468,151,0.543165468,162,0.582733813,11,0.039568345,0,0
Adams,6269,Fairfield Area HS,72,44,0.611111111,43,0.597222222,44,0.611111111,0,0,1,0.013888889
Adams,6271,Gettysburg Area HS,246,170,0.691056911,164,0.666666667,176,0.715447154,6,0.024390244,6,0.024390244
Adams,14,Littlestown SHS,143,70,0.48951049,70,0.48951049,79,0.552447552,9,0.062937063,0,0
Adams,21,Biglerville HS,102,55,0.539215686,55,0.539215686,60,0.588235294,5,0.049019608,0,0
Allegheny,7727,City CHS,86,62,0.720930233,60,0.697674419,67,0.779069767,5,0.058139535,2,0.023255814
Allegheny,7846,The New Academy CS,19,7,0.368421053,7,0.368421053,9,0.473684211,2,0.105263158,0,0
Allegheny,7562,Urban Pathways 6-12 CS,31,18,0.580645161,17,0.548387097,24,0.774193548,6,0.193548387,1,0.032258065
Allegheny,8308,Passport Academy CS,15,0,0,0,0,0,0,0,0,0,0
Allegheny,409,Pittsburgh Allderdice HS,363,247,0.680440771,244,0.672176309,252,0.694214876,5,0.013774105,3,0.008264463
Allegheny,412,Pittsburgh Carrick HS,118,49,0.415254237,46,0.389830508,62,0.525423729,13,0.110169492,3,0.025423729
Allegheny,416,Pittsburgh Perry HS,89,14,0.157303371,12,0.134831461,14,0.157303371,0,0,2,0.02247191
Allegheny,6047,Pittsburgh Oliver,13,0,0,0,0,0,0,0,0,0,0
Allegheny,6664,Pittsburgh Pioneer,3,0,0,0,0,0,0,0,0,0,0
Allegheny,6811,Pittsburgh Conroy,9,0,0,0,0,1,0.111111111,1,0.111111111,0,0
Allegheny,6915,Pittsburgh Brashear HS,248,2,0.008064516,2,0.008064516,2,0.008064516,0,0,0,0
Allegheny,8105,Pittsburgh Obama 6-12,111,5,0.045045045,5,0.045045045,5,0.045045045,0,0,0,0
Allegheny,8106,Pittsburgh CAPA 6-12,108,95,0.87962963,95,0.87962963,95,0.87962963,0,0,0,0
Allegheny,8107,Pittsburgh Science and Technology Academ,91,68,0.747252747,68,0.747252747,71,0.78021978,3,0.032967033,0,0
Allegheny,8110,Pittsburgh Milliones 6-12,58,4,0.068965517,4,0.068965517,5,0.086206897,1,0.017241379,0,0
Allegheny,8203,Academy at Westinghouse,70,3,0.042857143,2,0.028571429,3,0.042857143,0,0,1,0.014285714
Allegheny,8300,Pittsburgh Online Academy,29,0,0,0,0,0,0,0,0,0,0
Allegheny,7772,Propel CS-Homestead,36,24,0.666666667,24,0.666666667,26,0.722222222,2,0.055555556,0,0
Allegheny,7832,Propel CS-Montour,38,27,0.710526316,27,0.710526316,33,0.868421053,6,0.157894737,0,0
Allegheny,29,Springdale JSHS,63,41,0.650793651,34,0.53968254,41,0.650793651,0,0,7,0.111111111
Allegheny,5199,Avonworth HS,129,102,0.790697674,101,0.782945736,104,0.80620155,2,0.015503876,1,0.007751938
Allegheny,315,Pine-Richland HS,383,327,0.853785901,327,0.853785901,333,0.869451697,6,0.015665796,0,0
Allegheny,50,Baldwin SHS,345,249,0.72173913,249,0.72173913,252,0.730434783,3,0.008695652,0,0
Allegheny,62,Bethel Park HS,349,268,0.767908309,268,0.767908309,268,0.767908309,0,0,0,0
Allegheny,70,Brentwood SHS,90,61,0.677777778,58,0.644444444,63,0.7,2,0.022222222,3,0.033333333
Allegheny,79,Carlynton JSHS,88,47,0.534090909,47,0.534090909,47,0.534090909,0,0,0,0
Allegheny,6706,Chartiers Valley HS,236,171,0.724576271,166,0.703389831,176,0.745762712,5,0.021186441,5,0.021186441
Allegheny,8094,Clairton MS/HS,37,14,0.378378378,11,0.297297297,14,0.378378378,0,0,3,0.081081081
Allegheny,8087,Cornell HS,40,31,0.775,31,0.775,32,0.8,1,0.025,0,0
Allegheny,513,Deer Lakes HS,145,101,0.696551724,101,0.696551724,106,0.731034483,5,0.034482759,0,0
Allegheny,8340,East Allegheny JSHS,93,57,0.612903226,51,0.548387097,58,0.623655914,1,0.010752688,6,0.064516129
Allegheny,144,Elizabeth Forward SHS,144,93,0.645833333,91,0.631944444,97,0.673611111,4,0.027777778,2,0.013888889
Allegheny,7648,Spectrum CS,3,0,0,0,0,0,0,0,0,0,0
Allegheny,156,Fox Chapel Area HS,323,274,0.848297214,274,0.848297214,276,0.854489164,2,0.00619195,0,0
Allegheny,170,Gateway SHS,272,153,0.5625,148,0.544117647,161,0.591911765,8,0.029411765,5,0.018382353
Allegheny,5190,Hampton HS,241,199,0.825726141,199,0.825726141,200,0.829875519,1,0.004149378,0,0
Allegheny,5153,Highlands SHS,182,100,0.549450549,83,0.456043956,106,0.582417582,6,0.032967033,17,0.093406593
Allegheny,5112,Keystone Oaks HS,126,94,0.746031746,93,0.738095238,97,0.76984127,3,0.023809524,1,0.007936508
Allegheny,6105,McKeesport Area SHS,192,113,0.588541667,111,0.578125,119,0.619791667,6,0.03125,2,0.010416667
Allegheny,5017,Montour HS,217,147,0.677419355,146,0.67281106,150,0.69124424,3,0.013824885,1,0.004608295
Allegheny,4951,Moon SHS,280,220,0.785714286,220,0.785714286,232,0.828571429,12,0.042857143,0,0
Allegheny,254,Mt Lebanon SHS,410,388,0.946341463,387,0.943902439,389,0.948780488,1,0.002439024,1,0.002439024
Allegheny,8305,North Allegheny HS,635,577,0.908661417,577,0.908661417,579,0.911811024,2,0.003149606,0,0
Allegheny,53,Northgate MSHS,50,30,0.6,30,0.6,31,0.62,1,0.02,0,0
Allegheny,7101,North Hills SHS,314,232,0.738853503,228,0.72611465,244,0.777070064,12,0.038216561,4,0.012738854
Allegheny,309,Penn Hills SHS,269,73,0.271375465,72,0.267657993,76,0.282527881,3,0.011152416,1,0.003717472
Allegheny,435,Plum SHS,287,197,0.68641115,186,0.648083624,212,0.738675958,15,0.052264808,11,0.038327526
Allegheny,448,Quaker Valley HS,156,117,0.75,116,0.743589744,118,0.756410256,1,0.006410256,1,0.006410256
Allegheny,6928,Riverview JSHS,55,44,0.8,44,0.8,44,0.8,0,0,0,0
Allegheny,460,Shaler Area HS,284,205,0.721830986,197,0.693661972,210,0.73943662,5,0.017605634,8,0.028169014
Allegheny,8392,Westinghouse Arts Academy CS,52,29,0.557692308,24,0.461538462,29,0.557692308,0,0,5,0.096153846
Allegheny,8459,South Allegheny HS,103,51,0.495145631,49,0.475728155,51,0.495145631,0,0,2,0.019417476
Allegheny,470,South Fayette Twp HS,254,224,0.881889764,224,0.881889764,233,0.917322835,9,0.035433071,0,0
Allegheny,467,South Park SHS,141,87,0.617021277,86,0.609929078,87,0.617021277,0,0,1,0.007092199
Allegheny,196,Steel Valley SHS,90,35,0.388888889,35,0.388888889,36,0.4,1,0.011111111,0,0
Allegheny,477,Sto-Rox JSHS,66,33,0.5,29,0.439393939,33,0.5,0,0,4,0.060606061
Allegheny,492,Upper Saint Clair HS,376,342,0.909574468,342,0.909574468,352,0.936170213,10,0.026595745,0,0
Allegheny,509,West Allegheny SHS,251,204,0.812749004,197,0.784860558,204,0.812749004,0,0,7,0.027888446
Allegheny,523,Thomas Jefferson HS,218,156,0.71559633,153,0.701834862,157,0.720183486,1,0.004587156,3,0.013761468
Allegheny,536,West Mifflin Area HS,220,134,0.609090909,131,0.595454545,139,0.631818182,5,0.022727273,3,0.013636364
Allegheny,107,Woodland Hills HS,221,134,0.606334842,134,0.606334842,151,0.683257919,17,0.076923077,0,0
Allegheny,7821,Pennsylvania Distance Learning CS,69,37,0.536231884,36,0.52173913,39,0.565217391,2,0.028985507,1,0.014492754
Allegheny,8129,Propel CS-Braddock Hills,59,37,0.627118644,34,0.576271186,46,0.779661017,9,0.152542373,3,0.050847458
Armstrong,2320,Apollo-Ridge HS,70,42,0.6,40,0.571428571,44,0.628571429,2,0.028571429,2,0.028571429
Armstrong,7640,West Shamokin JSHS,65,0,0,0,0,0,0,0,0,0,0
Armstrong,8342,Armstrong JSHS,202,0,0,0,0,0,0,0,0,0,0
Armstrong,594,Freeport Area SHS,142,117,0.823943662,107,0.753521127,120,0.845070423,3,0.021126761,10,0.070422535
Armstrong,7923,Leechburg Area HS,31,15,0.483870968,14,0.451612903,18,0.580645161,3,0.096774194,1,0.032258065
Armstrong,4807,Lenape Tech,160,58,0.3625,58,0.3625,64,0.4,6,0.0375,0,0
Beaver,7859,Lincoln Park Performing Arts CS,143,0,0,0,0,0,0,0,0,0,0
Beaver,8086,Aliquippa JSHS,61,0,0,0,0,0,0,0,0,0,0
Beaver,6555,Ambridge Area HS,182,123,0.675824176,116,0.637362637,126,0.692307692,3,0.016483516,7,0.038461538
Beaver,640,Beaver Area SHS,162,105,0.648148148,103,0.635802469,108,0.666666667,3,0.018518519,2,0.012345679
Beaver,649,Beaver Falls Area SHS,113,51,0.451327434,51,0.451327434,59,0.522123894,8,0.07079646,0,0
Beaver,6707,Blackhawk HS,180,130,0.722222222,123,0.683333333,135,0.75,5,0.027777778,7,0.038888889
Beaver,8044,Central Valley HS,139,106,0.762589928,102,0.73381295,106,0.762589928,0,0,4,0.028776978
Beaver,6563,Freedom Area SHS,92,55,0.597826087,55,0.597826087,66,0.717391304,11,0.119565217,0,0
Beaver,7650,Pennsylvania Cyber CS,"1,148",463,0.403310105,399,0.347560976,484,0.421602787,21,0.018292683,64,0.055749129
Beaver,675,Hopewell SHS,149,97,0.651006711,91,0.610738255,100,0.67114094,3,0.020134228,6,0.040268456
Beaver,695,New Brighton Area HS,83,44,0.530120482,44,0.530120482,46,0.554216867,2,0.024096386,0,0
Beaver,700,Riverside HS,101,67,0.663366337,65,0.643564356,67,0.663366337,0,0,2,0.01980198
Beaver,8000,Rochester High School,51,27,0.529411765,26,0.509803922,27,0.529411765,0,0,1,0.019607843
Beaver,714,South Side HS,71,46,0.647887324,46,0.647887324,46,0.647887324,0,0,0,0
Beaver,719,Western Beaver Co JSHS,51,22,0.431372549,22,0.431372549,25,0.490196078,3,0.058823529,0,0
Bedford,726,Bedford SHS,141,71,0.503546099,65,0.460992908,72,0.510638298,1,0.007092199,6,0.042553191
Bedford,732,Chestnut Ridge SHS,98,49,0.5,45,0.459183673,49,0.5,0,0,4,0.040816327
Bedford,7897,Everett Area HS,92,40,0.434782609,40,0.434782609,47,0.510869565,7,0.076086957,0,0
Bedford,8436,Northern Bedford County HS,67,33,0.492537313,28,0.417910448,33,0.492537313,0,0,5,0.074626866
Bedford,8154,HOPE for Hyndman CS,19,0,0,0,0,0,0,0,0,0,0
Bedford,753,Tussey Mountain HS,61,29,0.475409836,28,0.459016393,31,0.508196721,2,0.032786885,1,0.016393443
Berks,820,Antietam MS/HS,50,20,0.4,20,0.4,23,0.46,3,0.06,0,0
Berks,6306,Boyertown Area SHS,525,335,0.638095238,334,0.636190476,341,0.64952381,6,0.011428571,1,0.001904762
Berks,6308,Brandywine Heights HS,99,58,0.585858586,55,0.555555556,58,0.585858586,0,0,3,0.03030303
